feature,num_missing,num_infinite,num_unique,is_constant,mean,std,min,max
min_magnitude,0,0,23989,False,0.8117179274559021,2.6633129119873047,4.839454504690366e-06,39.21895980834961
max_magnitude,0,0,23962,False,2.67073917388916,2.892642021179199,1.0217360258102417,43.913002014160156
median_magnitude,0,0,23844,False,1.7481038570404053,2.7478320598602295,0.42160046100616455,42.01591491699219
range_magnitude,0,0,23957,False,1.8590211868286133,0.8228397965431213,0.05581790208816528,6.838415622711182
q25_magnitude,0,0,23925,False,1.4025095701217651,2.724078893661499,0.11322306096553802,41.723167419433594
q75_magnitude,0,0,23826,False,2.0610175132751465,2.7966222763061523,0.9981170892715454,42.82463836669922
iqr_magnitude,0,0,23883,False,0.6585078239440918,0.4388624131679535,0.0009615421295166016,2.688566207885742
skew_magnitude,0,0,23990,False,0.081411940050486,1.6239410689841751,-5.693190097808838,10.39767074584961
kurtosis_magnitude,0,0,23938,False,4.460798070296645,24.797516461048865,-1.706264615058899,189.38900756835938
mean_power,0,0,23815,False,10.798230171203613,47.29296875,0.8026701807975769,1784.8441162109375
std_power,0,0,23974,False,1.7345011234283447,3.899843454360962,0.005540232174098492,55.251060485839844
min_power,0,0,23989,False,7.751826763153076,39.40635299682617,2.3420319503197895e-11,1538.1268310546875
max_power,0,0,23962,False,15.499876022338867,55.30106735229492,1.0439444780349731,1928.351806640625
median_power,0,0,23927,False,10.606134414672852,47.24354553222656,0.1777484118938446,1765.337158203125
total_energy,0,0,23815,False,11057.3876953125,48428.0,821.9342651367188,1827680.375
rms_power,0,0,23649,False,1.8147878646850586,2.739541530609131,0.895918607711792,42.247413635253906
peak_to_average_power_ratio,0,0,23973,False,2.946261167526245,0.9571109414100647,1.0311546325683594,6.552264213562012
magnitude_cv,0,0,23978,False,0.3729850649833679,0.1793489009141922,0.0027869322802871466,1.0111594200134277
power_cv,0,0,23953,False,0.6106838583946228,0.26728931069374084,0.005541609600186348,1.367414116859436
mean_phase,0,0,23999,False,0.0008424320258200169,0.810021698474884,-3.0977578163146973,3.1278786659240723
std_phase,0,0,23897,False,1.5278762578964233,0.5485401153564453,0.0006424461607821286,3.1225483417510986
min_phase,0,0,21777,False,-2.623668909072876,1.103150725364685,-3.141592502593994,3.116572856903076
max_phase,0,0,21783,False,2.6293230056762695,1.1030125617980957,-3.084117889404297,3.141592025756836
range_phase,0,0,21489,False,5.252991676330566,1.8356506824493408,0.004003763198852539,6.283172130584717
circular_mean_phase,0,0,23993,False,0.01207521092146635,1.8066964149475098,-3.1413767337799072,3.1415841579437256
circular_resultant_length,0,0,23908,False,0.23668599128723145,0.3373417854309082,3.4035820135613903e-06,0.9999997615814209
mean_unwrapped_phase,0,0,23995,False,4.102910041809082,23.89225196838379,-53.457332611083984,112.32872772216797
std_unwrapped_phase,0,0,23986,False,10.060461044311523,10.938566207885742,0.0006424461607821286,62.764373779296875
unwrapped_phase_range,0,0,23976,False,38.17449951171875,37.1848030090332,0.004003763198852539,214.82896423339844
mean_inst_freq,0,0,23992,False,0.008013236336410046,0.04487309604883194,-0.0969761535525322,0.2099989801645279
std_inst_freq,0,0,23947,False,0.3669794797897339,0.2060413956642151,0.0008680285536684096,0.9087138772010803
min_inst_freq,0,0,22163,False,-2.385873794555664,1.1064945459365845,-3.1415939331054688,0.199371337890625
max_inst_freq,0,0,22247,False,2.4001662731170654,1.070768117904663,0.0021971464157104492,3.1415929794311523
median_inst_freq,0,0,18473,False,0.008100195787847042,0.04300176352262497,-0.14227294921875,0.21208953857421875
range_inst_freq,0,0,22997,False,4.78603982925415,2.138953447341919,0.005051970481872559,6.28317928314209
q25_inst_freq,0,0,21169,False,-0.07010357826948166,0.08317019045352936,-0.25049591064453125,0.20783662796020508
q75_inst_freq,0,0,21108,False,0.08619000017642975,0.06746792793273926,-2.0444393157958984e-05,0.2511930465698242
iqr_inst_freq,0,0,21039,False,0.15629355609416962,0.12449201196432114,0.0011292695999145508,0.4666905701160431
skew_inst_freq,0,0,23994,False,0.00201933926394895,1.2395873767840124,-23.507152557373047,25.07118797302246
kurtosis_inst_freq,0,0,23954,False,20.47762647204101,23.22834589916936,-1.654901385307312,732.3652954101562
mean_fft_magnitude,0,0,23882,False,10.535344123840332,3.440110921859741,1.4839975833892822,48.259464263916016
std_fft_magnitude,0,0,23833,False,56.508243560791016,87.9869384765625,27.55773162841797,1351.0557861328125
min_fft_magnitude,0,0,23993,False,0.47709742188453674,0.34321630001068115,5.649553349940106e-05,2.0813279151916504
max_fft_magnitude,0,0,23981,False,1238.532958984375,2980.5595703125,152.18064880371094,43255.84765625
median_fft_magnitude,0,0,23984,False,0.875540018081665,0.5118535757064819,0.028215207159519196,3.805558204650879
skew_fft_magnitude,0,0,23928,False,9.850430257101854,9.626574452392152,2.9345645904541016,31.947683334350586
kurtosis_fft_magnitude,0,0,23960,False,207.35763943831125,313.09119591404374,7.965374946594238,1018.7696533203125
mean_fft_power,0,0,23824,False,11057.3876953125,48428.0,821.934326171875,1827680.5
std_fft_power,0,0,23951,False,327800.9375,1550639.875,3156.37548828125,58442308.0
max_fft_power,0,0,23981,False,10417330.0,49660696.0,23158.94921875,1871068416.0
total_fft_power,0,0,23824,False,11322765.0,49590272.0,841660.75,1871544832.0
spectral_centroid,0,0,24000,False,0.0012971975750739597,0.0065972095621742955,-0.012766723059606133,0.03324030409922393
spectral_spread,0,0,24000,False,0.02694753065838432,0.010099398324023257,0.0003902048838065448,0.03994543415675076
spectral_entropy,0,0,23765,False,4.837243556976318,2.30901837348938,0.0023971013724803925,6.692540168762207
spectral_flatness,0,0,23995,False,0.002476554596796632,0.002508734120056033,1.6623323517706012e-06,0.016869956627488136
dominant_freq,0,0,114,False,0.0013056233723958333,0.023225984171559282,-0.0546875,0.0556640625
peak_fft_power_ratio,0,0,23968,False,0.2562534511089325,0.3214806318283081,0.022690217941999435,0.999872624874115
spectral_rolloff_85_freq,0,0,50,False,0.029160400390625,0.01344617114451368,0.0,0.0478515625
spectral_rolloff_95_freq,0,0,40,False,0.041327962239583335,0.01425358120611593,0.0,0.0576171875
occupied_bandwidth_90,0,0,85,False,0.08003487141927083,0.0322786151631281,0.0,0.11328125
cov_I_I,0,0,24000,False,0.47524032512032666,0.2022229314681814,2.7811486006963934e-05,1.5847375748303265
cov_I_Q,0,0,24000,False,-0.0018362797558686896,0.18205186787749983,-0.7516850999555508,0.7473209330890584
cov_Q_I,0,0,24000,False,-0.0018362797558686896,0.18205186787749983,-0.7516850999555508,0.7473209330890584
cov_Q_Q,0,0,24000,False,0.475321987021061,0.20249980459067216,5.704524581936618e-07,1.7975008587318857
constellation_area_proxy,0,0,23864,False,0.4264223575592041,0.13311994075775146,0.0007470265263691545,0.7518460750579834
quadrant_1_ratio,0,0,822,False,0.24801082356770834,0.19810903111306769,0.0,1.0
quadrant_2_ratio,0,0,840,False,0.2511658935546875,0.20061417570644555,0.0,1.0
quadrant_3_ratio,0,0,830,False,0.24973018391927082,0.20045165637515283,0.0,1.0
quadrant_4_ratio,0,0,836,False,0.2510930989583333,0.2009964751736482,0.0,1.0
quadrant_balance_std,0,0,7387,False,0.1314011809336516,0.15084123285352605,0.0,0.4330127018922193
near_origin_ratio,0,0,422,False,0.47745365397135414,0.047634876535945274,0.2578125,0.78515625
far_origin_ratio,0,0,306,False,0.16494551595052084,0.044625223029336504,0.0,0.3388671875
radius_mean,0,0,23842,False,1.7276387214660645,2.753185987472534,0.8036662936210632,42.24260711669922
radius_std,0,0,23972,False,0.42269670963287354,0.23475047945976257,0.0027865751180797815,1.3407788276672363
radius_unique_rounded_count,0,0,365,False,161.61170833333333,70.91071170816193,6.0,434.0
phase_unique_rounded_count,0,0,326,False,338.0497916666667,212.02856446824063,1.0,552.0
